时间,最高值,最低值,TRUE/FALSE,压强差值,匹配压强值,腔体编号,压强值_1,压强值_2,压强值_3,压强值_4,压强值_5,压强值_6,压强值_7,压强值_8,压强值_9,压强值_10,压强值_11,压强值_12,压强值_13,压强值_14,压强值_15,压强值_16,压强值_17,压强值_18,压强值_19,压强值_20,压强值_21,压强值_22,压强值_23,压强值_24,压强值_25,压强值_26,压强值_27,压强值_28,压强值_29,压强值_30,压强值_31,压强值_32,压强值_33,压强值_34,压强值_35,压强值_36,压强值_37,压强值_38,压强值_39
2025-03-28 10:44:14,-678.096,-675.781,True,2.315,-677.08,16,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08,-677.08
2025-03-28 10:44:14,-661.965,-657.046,True,4.919,-661.96,17,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96,-661.96
2025-03-28 10:44:15,-690.574,-685.077,True,5.498,-689.13,18,-687.5,-687.5,-687.5,-687.5,-686.85,-686.85,-686.85,-686.85,-686.85,-686.13,-686.13,-686.13,-686.13,-685.62,-685.62,-685.62,-685.62,-685.62,-685.62,-685.08,-685.08,-685.08,-685.08,-254.23,-254.23,-254.23,-254.23,-254.23,-254.23,-2.79,-2.79,-2.79,-2.79,-4.09,-4.09,-4.09,-4.09,-4.49,-4.49
2025-03-28 10:44:15,-665.22,-662.399,True,2.821,-665.22,19,-664.06,-664.06,-664.06,-664.06,-664.06,-663.66,-663.66,-663.66,-663.66,-663.3,-663.3,-663.3,-663.3,-663.3,-663.3,-663.01,-663.01,-663.01,-663.01,-662.69,-662.69,-662.69,-662.69,-662.4,-662.4,-662.4,-662.4,-662.4,-662.4,-49.26,-49.26,-49.26,-49.26,-49.26,-4.3,-4.3,-4.3,-4.3,-4.3
2025-03-28 10:44:16,-697.7,-692.166,True,5.534,-697.7,20,-694.44,-693.87,-693.87,-693.87,-693.87,-693.5,-693.5,-693.5,-693.5,-693.5,-693.5,-693.18,-693.18,-693.18,-693.18,-692.89,-692.89,-692.89,-692.89,-692.89,-692.6,-692.6,-692.6,-692.6,-692.6,-692.35,-692.35,-692.35,-692.35,-692.17,-692.17,-692.17,-692.17,-692.17,-4.49,-4.49,-4.49,-4.49,-4.49
2025-03-28 10:44:16,-0.217,-0.253,False,-0.036,-0.22,21,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-21.05,-21.05,-21.05,-21.05,-21.05,-21.05,-0.22,-0.22,-0.22,-0.22,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
2025-03-28 10:44:17,-671.766,-666.486,True,5.281,-671.77,22,-669.09,-668.11,-668.11,-668.11,-668.11,-668.11,-667.57,-667.57,-667.57,-667.57,-667.57,-667.57,-667.21,-667.21,-667.21,-667.21,-666.99,-666.99,-666.99,-666.99,-666.78,-666.78,-666.78,-666.78,-666.78,-666.78,-666.63,-666.63,-666.63,-666.63,-666.49,-666.49,-666.49,-666.49,-0.94,-0.94,-0.94,-0.94,-0.94
2025-03-28 10:44:17,-687.898,-685.655,True,2.243,-687.9,23,-687.9,-687.9,-687.9,-687.07,-687.07,-687.07,-687.07,-686.67,-686.67,-686.67,-686.67,-686.67,-686.67,-686.38,-686.38,-686.38,-686.38,-686.16,-686.16,-686.16,-686.16,-685.98,-685.98,-685.98,-685.98,-685.98,-685.98,-685.8,-685.8,-685.8,-685.8,-685.8,-685.66,-685.66,-685.66,-685.66,-685.51,-685.51,-685.51
2025-03-28 10:44:18,-681.713,-676.794,True,4.919,-681.71,24,-679.98,-679.98,-679.98,-678.96,-678.96,-678.96,-678.96,-678.28,-678.28,-678.28,-678.28,-678.28,-678.28,-677.73,-677.73,-677.73,-677.73,-677.37,-677.37,-677.37,-677.37,-677.37,-677.05,-677.05,-677.05,-677.05,-677.05,-676.79,-676.79,-676.79,-676.79,-327.73,-327.73,-327.73,-327.73,-327.73,-327.73,0.0,0.0
2025-03-28 10:44:18,-657.046,-653.935,True,3.111,-657.05,25,-657.05,-657.05,-657.05,-656.18,-656.18,-656.18,-656.18,-656.18,-656.18,-655.67,-655.67,-655.67,-655.67,-655.67,-655.2,-655.2,-655.2,-655.2,-655.2,-655.2,-654.8,-654.8,-654.8,-654.48,-654.48,-654.48,-654.48,-654.48,-654.48,-654.22,-654.22,-654.22,-654.22,-653.94,-653.94,-653.94,-653.94,-128.15,-128.15
2025-03-28 10:44:19,-516.565,-506.257,False,10.308,-516.57,1,-511.9,-511.9,-511.9,-511.9,-509.62,-509.62,-509.62,-509.62,-509.62,-509.62,-508.39,-508.39,-508.39,-508.39,-507.63,-507.63,-507.63,-507.63,-507.63,-507.05,-507.05,-507.05,-507.05,-507.05,-506.62,-506.62,-506.62,-506.62,-506.26,-506.26,-506.26,-506.26,-38.95,-38.95,-38.95,-38.95,-38.95,-38.95,-2.93
2025-03-28 10:44:19,-649.667,-643.121,True,6.547,-649.67,2,-645.04,-645.04,-645.04,-645.04,-644.46,-644.46,-644.46,-644.46,-644.46,-644.46,-644.02,-644.02,-644.02,-644.02,-643.74,-643.74,-643.74,-643.74,-643.74,-643.48,-643.48,-643.48,-643.48,-643.48,-643.34,-643.34,-643.34,-643.34,-643.23,-643.23,-643.23,-643.23,-643.23,-643.23,-643.12,-643.12,-643.12,-643.12,-1.01
2025-03-28 10:44:19,-691.081,-686.523,True,4.557,-691.08,3,-689.09,-689.09,-689.09,-689.09,-688.66,-688.66,-688.66,-688.66,-688.66,-688.66,-687.97,-687.97,-687.97,-687.97,-687.46,-687.46,-687.46,-687.46,-687.46,-687.46,-687.07,-687.07,-687.07,-687.07,-686.78,-686.78,-686.78,-686.78,-686.52,-686.52,-686.52,-686.52,-686.52,-686.52,-0.65,-0.65,-0.65,-0.65,-1.7
2025-03-28 10:44:20,-662.507,-657.625,True,4.883,-662.51,4,-660.84,-660.84,-660.84,-660.84,-660.84,-660.84,-660.01,-660.01,-660.01,-660.01,-659.4,-659.4,-659.4,-659.4,-658.93,-658.93,-658.93,-658.93,-658.93,-658.93,-658.53,-658.53,-658.53,-658.53,-658.53,-658.53,-658.2,-658.2,-658.2,-658.2,-657.91,-657.91,-657.91,-657.91,-657.62,-657.62,-657.62,-657.62,-657.62
2025-03-28 10:44:20,-639.576,-634.802,True,4.774,-639.58,5,-638.38,-637.66,-637.66,-637.66,-637.66,-637.66,-637.04,-637.04,-637.04,-637.04,-636.54,-636.54,-636.54,-636.54,-636.54,-636.54,-636.03,-636.03,-636.03,-636.03,-635.63,-635.63,-635.63,-635.63,-635.2,-635.2,-635.2,-635.2,-635.2,-635.2,-634.8,-634.8,-634.8,-634.8,-0.22,-0.22,-0.22,-0.22,-0.22
2025-03-28 10:44:21,-685.113,-680.917,True,4.196,-685.11,6,-683.56,-683.56,-683.56,-683.56,-682.91,-682.91,-682.91,-682.91,-682.91,-682.91,-682.4,-682.4,-682.4,-682.4,-682.4,-682.4,-682.04,-682.04,-682.04,-682.04,-681.68,-681.68,-681.68,-681.68,-681.42,-681.42,-681.42,-681.42,-681.42,-681.42,-681.17,-681.17,-681.17,-681.17,-680.92,-680.92,-680.92,-680.92,-680.92
2025-03-28 10:44:21,-681.243,-676.179,True,5.064,-681.24,7,-677.88,-677.88,-677.88,-677.88,-677.88,-677.88,-677.23,-677.23,-677.23,-677.23,-676.87,-676.87,-676.87,-676.87,-676.61,-676.61,-676.61,-676.61,-676.61,-676.61,-676.47,-676.47,-676.47,-676.47,-676.29,-676.29,-676.29,-676.29,-676.29,-676.29,-676.18,-676.18,-676.18,-676.18,-676.18,-1.09,-1.09,-1.09,-1.09
